Freq.	V(Vout)/V(Vin)	V(vout)
3.31131121482590e+03	(1.97330881099135e+01dB,1.79880792968390e+02°)	(1.84913530212515e+01dB,-1.50206791371372e+02°)
3.38844156139201e+03	(1.97330872239288e+01dB,1.79878016288218e+02°)	(1.85402338425914e+01dB,-1.50776499350355e+02°)
3.46736850452530e+03	(1.97330862961892e+01dB,1.79875174931449e+02°)	(1.85874338555149e+01dB,-1.51339529477650e+02°)
3.54813389233574e+03	(1.97330853247268e+01dB,1.79872267391615e+02°)	(1.86329934252023e+01dB,-1.51895751839472e+02°)
3.63078054770100e+03	(1.97330843074811e+01dB,1.79869292127159e+02°)	(1.86769531561865e+01dB,-1.52445048486769e+02°)
3.71535229097171e+03	(1.97330832422942e+01dB,1.79866247560621e+02°)	(1.87193537967176e+01dB,-1.52987313251525e+02°)
3.80189396320559e+03	(1.97330821269069e+01dB,1.79863132077801e+02°)	(1.87602361473636e+01dB,-1.53522451529189e+02°)
3.89045144994279e+03	(1.97330809589534e+01dB,1.79859944026901e+02°)	(1.87996409740839e+01dB,-1.54050380030407e+02°)
3.98107170553495e+03	(1.97330797359562e+01dB,1.79856681717653e+02°)	(1.88376089259661e+01dB,-1.54571026505235e+02°)
4.07380277804111e+03	(1.97330784553213e+01dB,1.79853343420424e+02°)	(1.88741804577643e+01dB,-1.55084329442972e+02°)
4.16869383470333e+03	(1.97330771143324e+01dB,1.79849927365294e+02°)	(1.89093957573363e+01dB,-1.55590237750733e+02°)
4.26579518801591e+03	(1.97330757101451e+01dB,1.79846431741123e+02°)	(1.89432946780332e+01dB,-1.56088710413773e+02°)
4.36515832240164e+03	(1.97330742397809e+01dB,1.79842854694590e+02°)	(1.89759166760533e+01dB,-1.56579716140497e+02°)
4.46683592150961e+03	(1.97330727001211e+01dB,1.79839194329207e+02°)	(1.90073007527411e+01dB,-1.57063232994960e+02°)
4.57088189614873e+03	(1.97330710879000e+01dB,1.79835448704320e+02°)	(1.90374854017742e+01dB,-1.57539248019530e+02°)
4.67735141287196e+03	(1.97330693996979e+01dB,1.79831615834078e+02°)	(1.90665085611568e+01dB,-1.58007756850256e+02°)
4.78630092322636e+03	(1.97330676319339e+01dB,1.79827693686380e+02°)	(1.90944075699093e+01dB,-1.58468763327294e+02°)
4.89778819368444e+03	(1.97330657808586e+01dB,1.79823680181798e+02°)	(1.91212191293221e+01dB,-1.58922279102628e+02°)
5.01187233627270e+03	(1.97330638425457e+01dB,1.79819573192476e+02°)	(1.91469792686235e+01dB,-1.59368323247108e+02°)
5.12861383991362e+03	(1.97330618128838e+01dB,1.79815370541003e+02°)	(1.91717233148948e+01dB,-1.59806921858713e+02°)
5.24807460249770e+03	(1.97330596875679e+01dB,1.79811069999259e+02°)	(1.91954858670525e+01dB,-1.60238107673712e+02°)
5.37031796370250e+03	(1.97330574620900e+01dB,1.79806669287233e+02°)	(1.92183007737081e+01dB,-1.60661919682312e+02°)
5.49540873857622e+03	(1.97330551317299e+01dB,1.79802166071818e+02°)	(1.92402011147076e+01dB,-1.61078402750132e+02°)
5.62341325190346e+03	(1.97330526915446e+01dB,1.79797557965571e+02°)	(1.92612191861487e+01dB,-1.61487607246766e+02°)
5.75439937337154e+03	(1.97330501363584e+01dB,1.79792842525454e+02°)	(1.92813864886683e+01dB,-1.61889588682482e+02°)
5.88843655355586e+03	(1.97330474607515e+01dB,1.79788017251531e+02°)	(1.93007337187954e+01dB,-1.62284407353996e+02°)
6.02559586074354e+03	(1.97330446590490e+01dB,1.79783079585654e+02°)	(1.93192907631615e+01dB,-1.62672128000121e+02°)
6.16595001861479e+03	(1.97330417253082e+01dB,1.79778026910099e+02°)	(1.93370866953651e+01dB,-1.63052819467934e+02°)
6.30957344480190e+03	(1.97330386533066e+01dB,1.79772856546187e+02°)	(1.93541497752903e+01dB,-1.63426554390023e+02°)
6.45654229034652e+03	(1.97330354365284e+01dB,1.79767565752858e+02°)	(1.93705074506814e+01dB,-1.63793408873228e+02°)
6.60693448007592e+03	(1.97330320681506e+01dB,1.79762151725225e+02°)	(1.93861863607870e+01dB,-1.64153462199212e+02°)
6.76082975391978e+03	(1.97330285410289e+01dB,1.79756611593086e+02°)	(1.94012123418854e+01dB,-1.64506796537088e+02°)
6.91830970918932e+03	(1.97330248476822e+01dB,1.79750942419404e+02°)	(1.94156104345183e+01dB,-1.64853496668241e+02°)
7.07945784384134e+03	(1.97330209802767e+01dB,1.79745141198753e+02°)	(1.94294048922616e+01dB,-1.65193649723430e+02°)
7.24435960074986e+03	(1.97330169306097e+01dB,1.79739204855724e+02°)	(1.94426191918725e+01dB,-1.65527344932136e+02°)
7.41310241300913e+03	(1.97330126900918e+01dB,1.79733130243301e+02°)	(1.94552760446603e+01dB,-1.65854673384116e+02°)
7.58577575029179e+03	(1.97330082497290e+01dB,1.79726914141189e+02°)	(1.94673974089363e+01dB,-1.66175727803023e+02°)
7.76247116628687e+03	(1.97330036001031e+01dB,1.79720553254115e+02°)	(1.94790045034058e+01dB,-1.66490602331927e+02°)
7.94328234724277e+03	(1.97329987313524e+01dB,1.79714044210079e+02°)	(1.94901178213764e+01dB,-1.66799392330526e+02°)
8.12830516164094e+03	(1.97329936331505e+01dB,1.79707383558574e+02°)	(1.95007571456609e+01dB,-1.67102194183788e+02°)
8.31763771102666e+03	(1.97329882946841e+01dB,1.79700567768753e+02°)	(1.95109415640656e+01dB,-1.67399105121748e+02°)
8.51138038202371e+03	(1.97329827046306e+01dB,1.79693593227567e+02°)	(1.95206894853594e+01dB,-1.67690223050163e+02°)
8.70963589956075e+03	(1.97329768511337e+01dB,1.79686456237849e+02°)	(1.95300186556291e+01dB,-1.67975646391680e+02°)
8.91250938133740e+03	(1.97329707217784e+01dB,1.79679153016359e+02°)	(1.95389461749334e+01dB,-1.68255473937191e+02°)
9.12010839355904e+03	(1.97329643035648e+01dB,1.79671679691782e+02°)	(1.95474885141735e+01dB,-1.68529804707007e+02°)
9.33254300796985e+03	(1.97329575828802e+01dB,1.79664032302681e+02°)	(1.95556615321076e+01dB,-1.68798737821492e+02°)
9.54992586021430e+03	(1.97329505454707e+01dB,1.79656206795399e+02°)	(1.95634804924423e+01dB,-1.69062372380790e+02°)
